Timestamp,Vehicle_Count
2022-02-14 13-45-19,10
2022-02-14 13-50-19,10
2022-02-14 13-56-59,8
2022-02-14 14-00-39,7
2022-02-14 14-06-20,10
2022-02-14 14-11-20,2
2022-02-14 14-20-20,4
2022-02-14 14-26-20,6
2022-02-14 14-30-40,7
2022-02-14 14-35-21,8
2022-02-14 14-41-21,12
2022-02-14 14-47-21,10
2022-02-14 14-52-01,9
2022-02-14 14-56-41,5
2022-02-14 15-00-02,8
2022-02-14 15-06-22,13
2022-02-14 15-11-42,7
2022-02-14 15-17-42,3
2022-02-14 15-22-22,5
2022-02-14 15-28-42,9
2022-02-14 15-32-22,3
2022-02-14 15-36-03,7
2022-02-14 15-41-03,1
2022-02-14 15-47-23,8
2022-02-14 15-53-43,7
2022-02-14 15-56-23,4
2022-02-14 16-02-43,4
2022-02-14 16-08-23,0
2022-02-14 16-11-44,3
2022-02-14 16-17-44,7
2022-02-14 16-21-44,3
2022-02-14 16-27-04,7
2022-02-14 16-32-24,3
2022-02-14 16-38-04,11
2022-02-14 16-42-25,6
2022-02-14 16-45-25,6
2022-02-14 16-51-05,11
2022-02-14 16-57-25,5
2022-02-14 17-01-25,11
2022-02-14 17-11-26,6
2022-02-14 17-20-46,5
2022-02-14 17-27-26,5
2022-02-14 17-36-46,13
2022-02-14 17-39-46,10
2022-02-14 17-44-27,8
2022-02-14 17-55-27,9
2022-02-14 17-56-07,10
2022-02-14 18-00-27,11
2022-02-14 18-06-07,8
2022-02-14 18-14-08,10
2022-02-14 18-15-28,12
2022-02-14 18-20-48,14
2022-02-14 18-26-08,10
2022-02-14 18-30-28,13
2022-02-14 18-34-48,9
2022-02-14 18-40-48,6
2022-02-14 18-46-09,11
2022-02-14 18-50-09,7
2022-02-14 18-55-09,9
2022-02-14 19-00-09,12
2022-02-14 19-04-49,12
2022-02-14 19-12-10,9
2022-02-14 19-15-50,8
2022-02-14 19-20-30,8
2022-02-14 19-26-10,10
2022-02-14 19-29-50,9
2022-02-14 19-35-50,11
2022-02-14 19-40-31,8
2022-02-14 19-43-11,9
2022-02-14 19-50-31,6
2022-02-14 19-54-31,4
2022-02-14 20-00-11,4
2022-02-14 20-05-32,1
2022-02-14 20-08-52,0
2022-02-14 20-15-12,2
2022-02-14 20-19-32,1
2022-02-14 20-24-32,4
2022-02-14 20-29-32,1
2022-02-14 20-35-53,1
2022-02-14 20-38-53,2
2022-02-14 20-43-13,5
